#{"t_start": 1644400076.201242, "env_id": "ShelfEnvironmentPositioningURSim-v0"}
r,l,t
219.749735,69,155230.347368
223.850616,78,155246.039669
28.168081,79,155263.247483
23.665747,82,155279.962302
0,8,155295.26511
0,28,155298.706019
0,18,155304.598527
0,19,155308.971382
0,10,155313.242745
0,21,155316.557231
226.867328,83,155324.308057
0,7,155339.358981
0,23,155341.966122
227.791095,86,155350.166968
223.378304,79,155368.66788
0,24,155384.395602
0,8,155389.678855
0,25,155392.808226
223.414815,81,155401.300516
226.044877,81,155418.684821
0,7,155433.521142
227.178123,83,155438.946965
0,25,155455.116268
222.265961,76,155463.059108
223.981933,75,155479.295891
224.191977,73,155495.817743
223.298251,76,155512.456154
0,28,155527.063033
0,7,155533.254095
0,6,155535.17523
0,7,155537.168204
225.736202,76,155542.169339
29.762544,100,155559.59575
223.97525,76,155580.461233
0,29,155595.301209
221.854415,73,155603.596079
24.851154,77,155619.894039
0,7,155633.916364
29.236385,88,155639.388967
222.42903,76,155658.741184
224.091045,74,155675.479749
223.649718,79,155691.898233
223.236053,76,155709.341687
219.345416,69,155726.114227
1.681669,100,155742.837034
222.980961,77,155763.506061
0,100,155781.727931
1.934499,100,155803.48236
0,100,155825.49488
223.161506,81,155847.166702
0,100,155866.3401
41.632925,98,155887.847246
0,100,155910.080272
0,100,155932.155959
0,100,155954.310845
0,100,155976.81773
0,100,155998.455311
32.142552,97,156020.274602
0,100,156041.822655
222.079492,73,156062.056297
224.031068,83,156079.575936
228.305387,91,156098.181664
226.984712,85,156117.451694
0,100,156136.671445
0,100,156157.902599
0,100,156179.918445
21.483591,100,156201.030375
222.487159,78,156222.38133
28.887312,85,156240.225057
0,100,156259.237561
0,100,156280.466301
224.547662,76,156300.956046
0,100,156319.001308
29.493472,100,156595.916698
0,23,156614.158255
222.855312,77,156622.067313
223.396237,73,156638.765788
0,31,156653.141042
225.288264,82,156662.512708
225.346023,83,156680.013057
222.872292,81,156697.276092
0,8,156712.020909
0,6,156714.358752
226.897089,80,156719.261511
224.667979,82,156736.318011
0,7,156751.00096
0,5,156753.112984
23.637761,80,156758.140551
