#{"t_start": 1643969569.751914, "env_id": "ShelfEnvironmentPositioningURSim-v0"}
r,l,t
0,5,2588.329611
0,5,2590.011979
0,5,2591.830144
0,8,2593.900923
0,6,2595.968668
0,5,2597.994114
0,6,2599.740945
0,5,2601.571566
0,6,2603.220246
0,6,2605.265424
0,6,2607.209203
0,5,2609.062187
0,3,2610.844834
0,5,2612.479676
0,6,2614.379484
0,6,2616.396857
0,6,2618.212756
0,5,2620.155337
0,5,2621.973843
0,9,2623.823509
0,5,2626.179887
0,5,2627.8346
0,6,2629.722809
0,5,2631.574517
0,6,2633.40006
0,5,2635.226293
0,5,2636.955527
0,7,2638.709224
0,5,2640.901951
0,4,2642.570994
0,6,2644.009137
0,6,2645.944148
0,6,2647.633461
0,5,2649.697903
0,4,2651.585631
0,3,2653.077755
0,5,2654.275697
0,6,2656.053211
0,6,2658.169806
0,5,2659.972947
0,5,2661.765934
0,6,2663.941226
0,5,2666.09975
0,7,2667.784344
0,6,2669.965631
0,5,2671.887021
0,6,2673.716038
0,5,2675.763632
0,6,2677.595938
0,5,2679.293279
0,7,2680.931525
0,4,2683.157735
0,7,2684.623408
0,7,2686.526026
0,6,2688.69825
0,7,2690.824678
0,8,2692.94336
0,6,2695.269147
0,6,2697.330822
0,5,2699.28236
0,5,2701.133023
0,5,2702.804677
0,9,2704.753855
0,5,2707.224552
0,4,2708.998344
0,6,2710.70604
0,5,2712.749298
0,5,2714.512793
0,5,2716.295167
0,7,2718.071827
0,5,2720.264843
0,5,2721.736796
0,8,2723.693293
0,6,2725.728615
0,7,2727.740855
0,7,2729.835358
0,7,2732.098898
0,4,2734.185475
0,7,2735.951498
0,6,2738.142577
0,4,2739.864857
0,7,2741.644465
0,5,2743.803978
0,100,2749.18173
0,6,2767.25533
0,7,2769.35483
0,59,2773.520184
0,7,2785.498009
0,7,2787.971264
0,5,2790.108601
0,8,2791.850953
0,11,2794.233391
0,8,2797.093096
0,5,2799.468845
0,16,2801.459766
0,6,2805.35812
0,6,2807.394312
0,16,2809.831012
0,6,2813.539071
0,5,2815.132307
0,6,2816.858591
0,6,2818.874825
0,7,2820.895905
0,100,2827.315095
0,6,2844.95132
0,5,2846.90865
0,100,2852.187824
0,5,2870.235319
0,5,2872.118374
0,6,2874.073225
0,4,2875.940518
0,6,2877.358796
0,5,2879.37055
0,7,2881.218933
0,7,2883.196947
0,7,2885.33938
0,6,2887.439452
0,5,2889.39301
0,5,2891.182598
0,8,2893.137859
0,4,2895.631351
0,5,2897.11291
0,13,2899.177665
0,7,2902.838689
0,5,2904.804929
0,7,2906.804527
0,6,2908.520808
0,11,2910.648097
0,5,2913.502265
0,6,2915.307061
0,9,2917.370531
0,15,2920.194107
0,5,2923.890898
0,14,2925.992229
0,6,2929.607065
0,6,2931.521825
0,6,2933.549127
0,6,2935.532927
0,7,2937.584114
0,6,2939.843461
0,4,2941.775481
0,20,2943.987138
0,6,2948.480781
0,6,2950.424053
0,7,2952.641783
0,21,2955.569931
0,7,2960.309943
0,6,2962.450774
0,6,2964.496001
0,6,2966.414583
0,12,2968.787814
0,8,2972.103762
0,6,2974.456843
0,4,2976.139503
0,16,2978.345546
0,7,2982.355642
0,5,2984.309109
0,9,2986.422183
0,11,2989.039092
0,13,2992.210145
0,9,2995.427849
0,5,2997.814874
0,6,2999.373449
0,8,3001.44862
0,6,3003.711047
0,4,3005.525204
0,20,3007.692207
0,26,3012.734446
0,7,3018.525789
0,7,3020.887431
0,7,3022.913853
0,6,3025.208437
0,6,3027.198676
0,15,3029.544402
0,6,3033.156689
0,6,3035.219493
0,7,3037.209625
0,21,3040.084374
0,7,3044.748843
0,7,3046.99402
0,23,3049.72278
0,23,3055.484226
0,14,3060.663402
0,15,3064.428588
0,8,3067.923481
0,5,3070.110301
0,5,3072.024054
0,18,3073.927807
0,7,3078.330307
0,48,3082.038402
0,55,3095.469094
0,30,3110.153497
0,8,3117.478547
0,8,3119.853984
0,13,3122.473889
0,18,3126.195075
0,7,3130.513147
0,8,3132.756562
0,8,3135.057458
0,22,3137.957519
0,5,3142.752712
0,7,3144.593017
0,6,3146.816959
0,4,3148.776693
0,7,3150.551768
0,7,3152.5515
0,5,3154.847677
0,21,3157.189395
0,7,3162.086877
0,9,3164.370589
0,23,3167.862895
0,6,3172.98098
0,6,3175.055713
0,10,3177.297637
0,17,3180.405661
0,7,3184.499368
0,7,3186.569141
0,8,3188.984063
0,24,3191.998275
0,7,3197.008743
0,29,3200.203539
0,8,3206.063139
0,4,3208.294862
0,5,3209.93625
0,28,3212.392618
0,9,3218.479384
0,7,3221.101571
0,6,3223.188711
0,7,3225.108886
0,7,3227.116548
0,8,3229.368615
0,5,3231.541649
0,7,3233.347079
0,5,3235.596778
0,6,3237.276905
0,6,3239.13635
0,5,3241.16275
0,8,3243.083055
0,8,3245.392151
0,6,3247.906009
0,7,3249.928258
0,8,3252.372911
0,6,3254.639734
0,7,3256.620469
0,5,3258.725314
0,5,3260.641133
0,12,3262.660877
0,5,3265.473506
0,6,3267.479775
0,24,3270.254107
0,7,3275.759081
0,7,3278.054543
0,31,3281.093666
0,12,3287.876244
0,23,3291.585119
0,19,3297.054586
0,7,3301.450205
0,5,3303.665038
0,17,3305.900594
0,10,3310.387244
0,7,3313.402104
0,23,3316.066083
0,24,3322.041757
0,6,3327.628937
0,6,3329.445889
0,25,3331.920479
0,6,3337.165096
0,12,3339.317081
0,13,3342.667573
0,9,3345.729462
0,5,3348.048522
0,7,3350.044089
0,11,3352.218628
0,25,3355.622435
0,6,3361.241667
0,4,3363.222497
0,100,3368.434803
0.030687,81,3388.835878
0,14,3403.32688
0,78,3409.599631
0,17,3425.065554
0,40,3430.604424
0,55,3440.533934
0,17,3452.382028
0,16,3456.965733
0,15,3461.305956
0,58,3466.881583
0,73,3481.450081
0,19,3496.832084
0,81,3503.945859
0,94,3521.491598
0,74,3541.81666
0,72,3558.580167
0,23,3573.444638
0,23,3579.722385
0,25,3585.402637
0,41,3592.336217
0,25,3600.518245
0,14,3606.491791
0,24,3610.838913
0,9,3616.586461
0,25,3619.926163
0,25,3626.596661
0,8,3631.932705
0,11,3634.416559
0,25,3638.150501
0,100,3647.144827
0,100,3667.659061
0,27,3685.825927
0,100,3695.038447
0,92,3717.266899
0,100,3738.166255
0,100,3760.17388
0,100,3781.56469
0,100,3802.783857
0,100,3825.263813
0,100,3847.583023
0,100,3868.704088
0,22,3887.241848
0,22,3893.025168
0,100,3901.665738
0,25,3919.60094
0,100,3929.129635
0,37,3948.519864
0,9,3956.496545
0,30,3960.127122
0,100,3970.580083
0,100,3991.940073
3.709778,85,4013.25858
20.652685,100,4031.58174
2.833437,66,4050.420217
0,37,4063.021879
2.036184,100,4073.636942
2.010336,92,4094.009326
13.335092,100,4114.503059
0,30,4133.421493
12.505466,100,4143.406138
15.403959,100,4164.803575
0,100,4186.146091
0,100,4207.38273
0.016916,100,4229.12052
0,100,4250.384126
6.487509,100,4272.058109
0.04242,100,4293.204801
0,100,4314.448988
0,100,4337.054826
0,100,4358.15451
1.021134,100,4378.515207
4.383372,100,4400.175828
0.468974,100,4421.441808
0.075353,100,4442.557501
2.608403,100,4464.523078
0.729961,67,4484.003762
3.379146,100,4499.687949
5.228347,65,4519.674417
0,100,4534.666572
0,46,4554.078174
0.082983,64,4565.17488
3.241035,100,4580.619256
0,100,4603.120429
1.49958,100,4623.682262
0,81,4644.256126
0,29,4661.393528
10.341253,100,4671.079265
16.812172,76,4691.011856
0.91914,76,4706.798341
6.585991,100,4724.583959
6.33468,100,4745.867691
0.527305,77,4766.355623
2.721154,90,4783.877134
0.52235,80,4803.410285
4.109742,92,4821.559166
0.995395,89,4842.537576
3.363417,100,4862.055222
0,36,4880.810778
0,31,4888.812863
20.739646,100,4898.856806
0,100,4920.952293
10.240749,100,4942.173713
3.817052,100,4963.220673
0,100,4984.478609
0,100,5006.664456
0,100,5028.552727
11.838813,100,5049.680141
19.493241,100,5070.430476
0,100,5091.867721
2.356315,100,5114.553558
0,100,5135.946418
20.248337,100,5158.48085
3.858144,100,5180.401781
5.027517,100,5201.364532
16.992577,100,5223.019368
0.545738,57,5242.301672
0,100,5256.744403
0.018924,100,5277.634337
0.887841,100,5298.614504
0.250515,100,5319.640969
0.106665,100,5340.62698
0,100,5361.7402
2.679392,94,5383.553472
16.686996,100,5404.427527
0.379286,100,5425.665078
0,100,5446.961053
1.479145,100,5468.385928
1.187273,100,5488.856146
20.382692,100,5509.742209
17.191753,100,5530.126174
0,100,5550.558314
0.005002,100,5572.186147
6.851643,100,5592.908423
11.30205,100,5614.136008
4.617595,100,5635.301748
13.346795,100,5656.058335
0.490532,72,5676.246917
15.963101,100,5692.688882
0,100,5713.978367
0,75,5734.517612
0,32,5751.513343
2.882399,100,5761.780864
0,100,5783.126341
0,100,5804.009555
8.896297,100,5826.908627
3.040429,100,5847.932569
12.783686,100,5869.354989
12.722927,100,5890.492716
8.307091,100,5911.556735
1.302464,100,5932.894411
0,100,5953.449753
6.875004,100,5974.778562
0,100,5995.987519
0,100,6016.738336
1.233339,100,6037.537956
0,100,6057.820707
0,100,6080.221471
2.241044,100,6101.435277
0,100,6122.638953
0,100,6143.223845
3.262308,100,6164.430952
3.753666,100,6185.667402
1.602124,100,6206.257266
0,29,6224.688142
0.686916,100,6234.047955
1.102525,100,6254.92055
0.74819,100,6276.132948
2.130367,100,6297.445699
2.066329,100,6318.040388
0,100,6339.778409
2.032411,100,6360.831477
4.013593,100,6381.848585
2.13319,100,6402.869996
0,100,6423.947522
0,8,6441.361763
0,8,6443.761787
0,100,6449.588486
2.936363,100,6471.301716
6.462744,100,6492.26602
0.104595,100,6512.899664
0.541377,100,6534.21622
3.305947,100,6554.682892
1.702205,100,6575.117254
13.41747,100,6596.724889
1.461818,100,6618.326494
12.340501,100,6639.523036
4.128402,100,6660.762389
10.400298,100,6681.785603
6.256637,100,6702.528584
10.064484,90,6722.966019
0,9,6739.517997
17.605249,100,6745.973918
13.829064,100,6767.226831
0,5,6784.784927
6.677462,93,6789.729664
7.491901,62,7058.523988
9.046016,100,7073.063223
0,100,7094.248673
4.502019,100,7115.562179
12.901364,100,7136.177072
16.801776,100,7157.028644
0.324276,100,7178.036224
0,100,7198.489433
8.319873,48,7217.227024
3.352933,100,7229.86012
6.924797,100,7250.580866
5.543982,100,7270.706335
2.803428,100,7291.631562
14.039447,100,7311.969103
9.342085,100,7332.977732
0.445614,99,7353.929
9.247019,100,7374.6519
12.366394,100,7395.25616
11.124309,100,7416.072451
16.389001,100,7437.107816
5.337096,100,7458.003545
7.870633,100,7478.469133
4.937842,100,7500.660172
17.764533,100,7521.218358
13.052477,100,7542.188102
15.748051,100,7563.476531
12.074517,100,7584.692693
4.99219,100,7605.552339
8.898955,74,7625.680283
